PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
128,0,3,"Wilson, Dr. Annie",female,17.6,0,2,935427,18.5437,G107,S
129,0,1,"Davis, Mr. Robert",male,15.2,0,0,306518,77.2697,E66,S
130,0,3,"Johnson, Lady. Alice",female,19.9,0,0,989217,4.8056,,S
131,0,2,"Johnson, Mr. Charles",male,,1,0,706771,10,,C
132,1,1,"Williams, Miss. Alice",female,48.8,0,0,336512,249.1503,,S
133,1,1,"Jones, Miss. Florence",female,44.4,0,0,804748,99.589,F95,S
134,1,2,"Miller, Miss. Annie",female,10.1,0,0,513166,15.4682,,C
135,0,3,"Miller, Mr. Arthur",male,,0,0,806988,5.0256,,C
136,1,2,"Wilson, Dr. Edith",female,37.5,0,0,937562,13.4614,,S
137,1,3,"Williams, Lady. Sarah",female,,0,0,638842,19.3283,,S
138,1,3,"Davis, Mr. Arthur",male,54.1,1,0,241059,35.4859,,S
139,0,2,"Brown, Miss. Alice",female,47,2,0,428698,10,,S
140,0,3,"Williams, Mr. Edward",male,37.6,0,0,54494,0.3372,,S
141,0,3,"Jones, Mr. William",male,,0,2,952509,16.6204,,S
142,1,2,"Williams, Mr. Charles",male,17.5,0,0,881103,22.1339,,S
143,0,3,"Smith, Mr. Thomas",male,25.2,1,2,492640,13.9721,,S
144,0,2,"Taylor, Mr. George",male,44.2,1,1,42481,19.118,,S
145,1,2,"Davis, Dr. Edith",female,31.4,0,0,38401,19.9641,,C
146,0,1,"Miller, Mr. Robert",male,,0,0,574719,144.6077,,S
147,0,3,"Smith, Miss. Emma",female,9.8,1,0,336603,3.7653,G32,S
148,0,3,"Jones, Mr. Edward",male,15.4,0,0,362617,16.4328,,C
149,1,1,"Wilson, Dr. James",male,31.8,0,0,133311,96.0648,,S
150,0,2,"Jones, Mr. Arthur",male,7,0,0,258482,10,,Q
151,1,3,"Smith, Miss. Sarah",female,26.4,0,0,654615,12.402,,S
152,1,1,"Taylor, Mr. William",male,28.1,1,0,744042,232.155,A76,S
153,0,1,"Brown, Mr. Charles",male,23.9,3,0,451720,160.4948,,S
154,1,3,"Anderson, Mrs. Margaret",female,34.4,0,0,406439,2.1086,,S
155,0,3,"Williams, Dr. Henry",male,36.7,0,1,474193,16.9472,,S
156,0,2,"Anderson, Mr. Edward",male,23.1,0,0,249198,31.3861,B42,S
157,1,3,"Anderson, Mr. Henry",male,,0,0,50149,22.5884,,S
158,1,3,"Miller, Dr. Alice",female,34.3,0,0,547151,10.6776,,S
159,1,1,"Johnson, Mr. Arthur",male,29.6,0,0,899920,84.3746,,S
160,0,3,"Williams, Mrs. Emma",female,26.7,0,0,170636,17.4227,F90,S
161,0,2,"Smith, Dr. James",male,51.6,0,0,754984,17.7399,,S
162,1,3,"Taylor, Dr. Florence",female,29.9,0,0,556787,25.8216,,S
163,1,3,"Williams, Miss. Ellen",female,22.2,0,0,248691,26.9612,,S
164,0,3,"Miller, Dr. Elizabeth",female,,0,2,267128,20.9406,,S
165,0,1,"Miller, Mr. John",male,17,0,2,361362,34.7726,,C
166,1,3,"Wilson, Miss. Edith",female,,5,0,566420,10.2459,,S
167,0,2,"Davis, Mr. Henry",male,40,0,0,136272,25.7665,,C
168,0,1,"Taylor, Mr. Arthur",male,46,0,0,669893,131.4631,E96,S
169,1,1,"Miller, Mr. Charles",male,,1,0,748322,113.6085,,S
170,1,3,"Smith, Mrs. Emma",female,10.2,8,0,352240,14.2989,,S
171,1,3,"Taylor, Mrs. Mary",female,36,0,0,437625,0,,S
172,1,1,"Smith, Miss. Ellen",female,20.5,1,2,484677,92.4998,,S
173,0,3,"Smith, Mr. Robert",male,27.1,0,0,271085,9.8666,G132,S
174,0,1,"Brown, Mr. Charles",male,34.8,0,0,950491,157.7791,,S
175,1,3,"Taylor, Mrs. Ellen",female,,0,0,20633,9.6824,,S
176,0,1,"Anderson, Mr. Charles",male,19.6,0,0,459423,133.8399,A87,S
177,0,3,"Brown, Mr. James",male,49.4,1,0,191607,23.0772,,S
178,0,2,"Smith, Col. John",male,,0,2,800428,13.174,B48,S
179,0,3,"Johnson, Mr. Arthur",male,29.7,0,0,141086,9.9462,,S
180,1,1,"Miller, Mr. Edward",male,20.3,0,0,798106,71.6594,A27,S
181,0,2,"Anderson, Rev. George",male,0.5,0,0,441083,10.9209,,C
182,1,1,"Brown, Mr. Arthur",male,41.5,0,0,488753,37.7543,,S
183,0,3,"Smith, Mr. Arthur",male,,1,0,591539,18.2104,F30,S
184,1,3,"Taylor, Miss. Sarah",female,19.5,1,0,721069,17.1404,,S
185,0,2,"Williams, Mr. William",male,,1,0,392306,15.4045,,C
186,0,3,"Brown, Mr. Robert",male,36.7,1,1,158936,24.2981,D36,S
187,1,3,"Davis, Miss. Edith",female,33.1,0,0,298465,6.8289,B106,S
188,0,3,"Miller, Rev. Robert",male,23.1,1,0,165154,20.3827,,C
189,1,3,"Williams, Mrs. Edith",female,,0,0,50131,4.4414,G65,S
190,0,1,"Anderson, Miss. Edith",female,,0,1,212565,113.9748,,S
191,1,1,"Anderson, Mr. Arthur",male,33.8,0,0,145282,27.1722,,C
192,0,3,"Anderson, Mr. John",male,12.4,0,0,255152,3.7907,C136,S
193,1,3,"Williams, Mrs. Emma",female,,0,0,785519,15.5204,,C
194,0,3,"Jones, Miss. Alice",female,17.1,0,0,649951,0,,C
195,0,2,"Johnson, Mr. Henry",male,9,1,0,992090,21.8299,,Q
196,0,2,"Brown, Mr. George",male,,0,1,880037,19.6907,,S
197,1,3,"Anderson, Dr. Robert",male,,0,0,569139,13.742,,S
198,1,3,"Anderson, Miss. Alice",female,40.9,3,0,823297,9.6761,G22,S
199,0,3,"Jones, Mr. William",male,32.6,0,0,880038,0,F65,S
200,1,3,"Davis, Lady. Ellen",female,16.8,0,1,145230,5.639,,S
201,1,3,"Davis, Mrs. Florence",female,9,0,0,131497,16.5209,F37,S
202,1,1,"Wilson, Mr. John",male,30.8,0,0,329996,73.5371,,S
203,0,1,"Miller, Dr. Charles",male,35.6,0,0,321483,205.1067,,S
204,0,3,"Wilson, Mr. William",male,,0,0,897518,23.4115,G128,S
205,0,3,"Davis, Mr. George",male,32.3,0,0,817004,16.5766,,C
206,1,1,"Davis, Mr. Thomas",male,25.2,0,0,931604,41.2708,,C
207,1,1,"Johnson, Mr. James",male,19.2,0,0,185541,150.8778,,C
208,0,3,"Davis, Mrs. Mary",female,19.1,0,0,877493,0.3742,,S
209,1,1,"Wilson, Mr. John",male,16.1,0,0,201933,26,D50,Q
210,1,1,"Davis, Mr. Henry",male,0.5,1,0,552744,168.3599,,C
211,1,3,"Wilson, Miss. Sarah",female,17,0,0,852235,19.1676,,S
212,1,3,"Williams, Mrs. Mary",female,19.9,0,1,337777,25.6181,,S
213,0,3,"Johnson, Miss. Mary",female,,1,2,740379,10.274,,S
214,1,1,"Jones, Dr. Florence",female,22,0,2,524709,26,,S
215,0,3,"Johnson, Mr. James",male,38,0,1,570520,11.2603,,S
216,0,1,"Williams, Mr. Henry",male,56.7,0,0,77323,113.6645,D13,S
217,0,2,"Anderson, Mrs. Sarah",female,2,1,0,902499,49.2433,A97,C
218,1,3,"Brown, Mrs. Margaret",female,,1,0,425004,19.3651,,S
219,0,3,"Miller, Col. Henry",male,27.6,0,0,812524,26.276,,S
220,1,3,"Wilson, Lady. Florence",female,20.6,1,0,797564,11.2592,,C
221,0,3,"Brown, Mr. Henry",male,21.6,0,0,743210,14.9655,D55,S
222,0,3,"Wilson, Mr. Arthur",male,19.6,0,0,245253,24.5998,G97,Q
223,0,1,"Smith, Rev. Henry",male,23.7,0,0,229190,26,,S
224,1,2,"Wilson, Mr. George",male,17.6,0,0,665312,11.4882,,Q
225,0,2,"Williams, Mr. Thomas",male,31.6,1,2,267075,17.5818,,S
226,0,2,"Smith, Rev. Edward",male,51.1,0,0,763132,10.9307,,S
227,1,3,"Brown, Mrs. Alice",female,,0,0,259596,14.4288,,S
228,0,2,"Smith, Mr. Charles",male,26.7,1,2,285212,15.358,,S
229,1,3,"Johnson, Col. Henry",male,26.2,0,0,974905,7.5236,,C
230,1,3,"Miller, Mrs. Emma",female,22.7,0,0,189598,3.9292,,S
231,1,3,"Wilson, Mrs. Mary",female,19,0,0,462174,15.2836,,Q
232,1,3,"Smith, Miss. Elizabeth",female,12.9,1,0,125729,0,,S
233,1,3,"Wilson, Mrs. Edith",female,16.3,1,1,86593,10.4088,,S
234,1,3,"Williams, Mrs. Florence",female,63,0,0,65041,15.2053,,C
235,1,1,"Anderson, Rev. Charles",male,33.9,0,0,764518,135.0461,,S
236,1,3,"Wilson, Mr. George",male,20.2,0,0,245114,0,,S
237,0,2,"Johnson, Mr. William",male,24.5,1,0,335516,10.5284,,C
238,1,1,"Davis, Mr. John",male,,0,2,601850,51.0942,,C
239,1,3,"Johnson, Mr. William",male,31.5,0,0,888531,25.8804,,Q
240,0,1,"Williams, Lady. Ellen",female,34.1,2,0,598334,26,,C
241,0,3,"Williams, Mr. George",male,,0,0,995590,5.0799,,S
242,0,3,"Brown, Mr. Thomas",male,,0,0,924520,15.4226,,C
243,1,3,"Johnson, Mr. William",male,,0,2,892890,11.0579,,S
244,0,2,"Johnson, Mrs. Mary",female,28.1,4,0,148161,20.7451,,Q
245,1,1,"Johnson, Rev. George",male,24.2,0,0,813055,164.8755,,S
246,1,3,"Taylor, Miss. Alice",female,24,0,0,846073,7.3996,,S
247,0,2,"Smith, Col. George",male,30.9,0,1,284187,14.9614,,S
248,0,3,"Smith, Mr. Edward",male,,0,0,76572,24.9535,,S
249,0,3,"Wilson, Dr. Charles",male,36.3,0,1,991640,8.4613,,S
250,0,3,"Johnson, Miss. Elizabeth",female,31.8,0,0,920650,7.5296,,C
251,0,2,"Jones, Col. Henry",male,,8,2,491268,23.988,G86,C
252,1,2,"Brown, Miss. Emma",female,39,0,0,96700,13.2654,,S
253,0,3,"Johnson, Mr. George",male,25.6,0,0,67061,1.3947,,C
254,0,2,"Johnson, Col. Thomas",male,,0,0,127957,21.8702,,S
255,1,1,"Davis, Mrs. Florence",female,34.9,0,0,802554,79.3093,F145,S
256,0,3,"Anderson, Mrs. Ellen",female,53.7,1,2,843778,16.7955,G102,S
257,1,3,"Davis, Miss. Annie",female,12.3,0,1,528650,12.4631,,C
258,1,3,"Brown, Mrs. Elizabeth",female,33.2,0,0,238394,0,D87,S
259,1,3,"Miller, Miss. Annie",female,15,0,0,910425,5.7125,,S
260,1,1,"Brown, Miss. Mary",female,,0,0,419366,109.1794,D36,S
261,0,3,"Johnson, Mrs. Ellen",female,15.1,0,0,97630,5.9154,A61,S
262,1,3,"Wilson, Miss. Margaret",female,21.6,0,0,87228,14.8302,,S
263,1,1,"Miller, Miss. Alice",female,23.2,1,0,284198,188.4451,,S
264,0,3,"Anderson, Mr. James",male,35.6,2,0,536055,21.6625,,S
265,1,3,"Williams, Miss. Elizabeth",female,38.9,0,0,14708,1.9644,,S
266,0,3,"Brown, Mr. Henry",male,,3,0,772017,32.7698,,C
267,0,3,"Johnson, Dr. Margaret",female,27.7,0,0,854431,19.9073,,S
268,1,3,"Miller, Miss. Mary",female,,0,0,586446,12.9846,,S
269,0,2,"Taylor, Mr. Arthur",male,37.5,0,3,956796,10,,S
270,0,2,"Johnson, Miss. Alice",female,24.2,0,0,38082,10,,C
271,1,3,"Johnson, Mr. Thomas",male,,0,0,44024,0.0515,,C
272,0,3,"Brown, Mr. Arthur",male,,0,0,295605,10.9726,,C
273,1,3,"Davis, Mrs. Margaret",female,32.6,0,1,15351,0,,S
274,0,3,"Anderson, Rev. George",male,26.2,0,0,974535,14.7339,,C
275,0,3,"Johnson, Mrs. Emma",female,,0,0,502269,16.2885,,S
276,1,3,"Brown, Mrs. Annie",female,40.3,1,0,879060,12.6475,,S
277,0,3,"Miller, Dr. Charles",male,16.9,0,0,114720,7.1092,D30,S
278,0,3,"Brown, Mr. Henry",male,44.8,0,0,658789,0,,S
279,0,3,"Brown, Rev. George",male,47.1,0,1,442934,16.3618,,Q
280,1,3,"Davis, Mr. John",male,,0,1,907064,26.0989,,C
281,1,3,"Miller, Miss. Alice",female,32.1,1,0,530751,7.6808,,S
282,0,2,"Williams, Col. Arthur",male,,0,0,624865,14.7186,,S
283,0,2,"Williams, Mr. Henry",male,,0,2,136875,21.9893,,S
284,1,1,"Jones, Mr. Charles",male,,1,0,756572,132.0907,,S
285,1,3,"Jones, Mr. George",male,17,0,1,896449,9.4596,B48,S
286,1,1,"Davis, Miss. Elizabeth",female,31.3,0,0,678137,512,,C
287,1,3,"Smith, Mr. William",male,40.9,0,2,755216,6.1567,,Q
288,1,3,"Jones, Miss. Annie",female,13.8,1,0,149380,9.4575,G62,S
289,0,2,"Davis, Mr. Charles",male,26.9,0,2,577729,24.6675,,C
290,0,3,"Taylor, Miss. Ellen",female,15,0,0,647970,1.1905,,S
291,0,1,"Taylor, Col. Thomas",male,24.9,0,0,90865,180.6565,,S
292,1,1,"Jones, Mr. Arthur",male,18,0,2,23882,192.2988,,S
293,1,3,"Brown, Miss. Sarah",female,21.7,0,0,124883,3.1086,,S
294,0,2,"Jones, Mr. Robert",male,25.8,0,0,932218,20.5475,,C
295,1,1,"Miller, Lady. Ellen",female,35.5,0,0,232658,61.5201,F61,S
296,1,3,"Jones, Dr. Emma",female,,2,1,184504,6.9751,D127,S
297,1,3,"Brown, Mr. Arthur",male,,1,2,222361,4.1952,C108,S
298,1,1,"Taylor, Mr. William",male,,0,0,367659,30.5558,D149,Q
299,0,3,"Brown, Lady. Alice",female,8.2,1,1,644913,17.9761,,S
300,1,1,"Anderson, Mr. Henry",male,29.7,0,0,660222,26,,C
301,0,1,"Williams, Mr. Robert",male,18.3,0,0,420874,104.8712,,C
302,0,3,"Davis, Mr. James",male,,0,0,734605,14.8063,,S
303,1,3,"Williams, Mr. Thomas",male,14.7,1,0,764002,15.3153,C57,S
304,1,3,"Anderson, Mr. George",male,45.4,1,0,377209,9.8997,,C
305,1,3,"Smith, Miss. Florence",female,40,0,3,521415,6.2553,F132,S
306,1,3,"Smith, Miss. Emma",female,30.6,2,0,767939,16.0399,G61,Q
307,1,3,"Williams, Dr. Emma",female,,0,0,268669,8.0942,G138,S
308,1,2,"Williams, Lady. Ellen",female,31.8,1,2,873459,22.0721,B73,S
309,1,3,"Williams, Mr. Henry",male,,4,0,716168,1.5764,,C
310,1,2,"Brown, Miss. Margaret",female,26.3,0,1,49530,27.2643,,C
311,1,2,"Williams, Mr. Arthur",male,,1,0,149906,20.2009,,Q
312,1,1,"Wilson, Mr. Arthur",male,12.5,0,1,417574,127.2016,,S
313,0,1,"Wilson, Mr. Edward",male,,0,0,937376,52.1903,,Q
314,0,3,"Anderson, Mr. Edward",male,55.2,0,2,330838,7.3278,F34,C
315,1,3,"Johnson, Dr. Sarah",female,24.4,0,0,97193,20.7782,B103,C
316,1,3,"Miller, Miss. Emma",female,16.6,2,0,657786,0,,S
317,0,2,"Smith, Dr. William",male,36.7,0,0,191393,12.6391,,S
318,1,1,"Williams, Mr. Thomas",male,32.3,0,0,755723,131.6692,,Q
319,1,1,"Brown, Miss. Edith",female,21.1,1,0,214781,149.3008,,S
320,0,2,"Taylor, Dr. William",male,36.4,3,0,288829,25.5207,,S
321,0,3,"Smith, Mr. James",male,38.3,0,0,938837,16.4717,,S
322,0,3,"Brown, Mr. Thomas",male,44.4,4,0,126254,19.3239,,S
323,1,3,"Williams, Miss. Emma",female,0.5,0,0,676716,15.1679,,S
324,0,2,"Miller, Dr. Edith",female,19.1,1,0,312728,10,,S
325,1,3,"Smith, Dr. Robert",male,38.7,0,0,513669,16.3211,,C
326,0,3,"Smith, Mr. George",male,54.7,0,0,192434,14.1186,,S
327,1,3,"Davis, Miss. Florence",female,20.6,0,0,545632,21.4245,,S
328,1,3,"Miller, Lady. Florence",female,2.6,0,0,648779,19.9924,,S
329,0,2,"Brown, Dr. William",male,44.4,0,0,54619,26.9114,G24,S
330,0,2,"Brown, Lady. Elizabeth",female,,0,0,508750,19.9303,,S
331,0,2,"Miller, Rev. Robert",male,1.8,0,1,641395,40.4225,,S
332,0,3,"Smith, Mr. Henry",male,41,1,0,484547,8.0519,,S
333,1,1,"Jones, Miss. Margaret",female,24.6,0,0,236351,153.9656,,C
334,0,1,"Wilson, Col. Thomas",male,,0,0,143015,145.9162,B131,S
335,0,1,"Brown, Mr. Edward",male,34.3,0,0,231257,65.792,,S
336,0,1,"Taylor, Dr. Charles",male,,0,0,725577,39.8766,,S
337,1,3,"Jones, Rev. Henry",male,39.2,1,0,122319,13.1451,,S
338,1,3,"Anderson, Lady. Annie",female,35.5,1,0,424237,14.2898,,C
339,0,3,"Brown, Dr. James",male,36.7,0,0,804780,8.3569,,C
340,0,1,"Jones, Miss. Annie",female,24.4,0,0,218358,189.1606,,S
341,1,3,"Johnson, Dr. Edward",male,39.6,1,0,474137,0,,S
342,1,3,"Taylor, Mr. Arthur",male,38,0,0,681999,6.7437,,S
343,0,1,"Jones, Mr. Thomas",male,17.8,1,0,95030,111.5279,,S
344,1,2,"Johnson, Mrs. Margaret",female,,0,2,467782,23.9523,,Q
345,0,2,"Taylor, Col. Thomas",male,23,1,0,707371,18.6177,,S
346,1,3,"Johnson, Mrs. Margaret",female,32.9,0,0,779937,17.1979,,C
347,0,3,"Davis, Dr. Robert",male,,0,2,244408,17.6862,,S
348,1,1,"Brown, Miss. Mary",female,36.2,3,0,376709,102.1436,,S
349,1,2,"Anderson, Dr. James",male,27.1,0,0,815072,22.3675,,S
350,1,3,"Jones, Mrs. Alice",female,28.1,0,1,45402,23.1462,,S
