PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,Title,IsAlone,SmallFamily,LargeFamily,HasCabin,CabinDeck,FareLog,FareBand,AgeBand,IsChild,IsSenior,Sex_Pclass,IsWomanOrChild
38,1,1,"Brown, Mr. George",male,36.6,0,0,480974,257.0716,,S,1,Mr,1,0,0,0,,5.553237065800082,VHigh,Middle,0,0,male_1,0
39,1,3,"Anderson, Mr. John",male,30.65,0,0,519939,12.7804,G11,S,1,Mr,1,0,0,1,G,2.623247292740418,Mid,Young,0,0,male_3,0
40,1,2,"Jones, Mr. Charles",male,30.65,0,2,559667,19.7145,,S,3,Mr,0,1,0,0,,3.03083393813934,High,Young,0,0,male_2,0
41,1,1,"Smith, Miss. Ellen",female,33.5,0,0,232261,68.2972,B89,C,1,Miss,1,0,0,1,B,4.238404501339188,VHigh,Young,0,0,female_1,1
42,1,3,"Wilson, Miss. Mary",female,35.7,0,1,290512,19.7946,A69,C,2,Miss,0,1,0,1,A,3.034693337616749,High,Middle,0,0,female_3,1
43,0,1,"Jones, Col. James",male,16.4,1,1,754401,155.8794,,C,3,Col,0,1,0,0,,5.055477357301481,VHigh,Teen,0,0,male_1,0
44,0,3,"Smith, Mr. John",male,30.65,0,0,435987,12.9658,,S,1,Mr,1,0,0,0,,2.636611483828679,Mid,Young,0,0,male_3,0
45,0,2,"Taylor, Mr. William",male,56.7,2,0,468166,26.3321,,S,3,Mr,0,1,0,0,,3.3080618356268983,High,Middle,0,0,male_2,0
46,0,3,"Smith, Mr. Robert",male,15.7,1,1,181317,7.0181,,C,3,Mr,0,1,0,0,,2.0817014860806804,Low,Teen,0,0,male_3,0
47,1,2,"Taylor, Miss. Elizabeth",female,12.7,1,0,638590,10.0,,C,2,Miss,0,1,0,0,,2.3978952727983707,Low,Teen,0,0,female_2,1
48,0,3,"Jones, Rev. Charles",male,26.4,0,1,633194,20.2834,G33,S,2,Rev,0,1,0,1,G,3.057927426146958,High,Young,0,0,male_3,0
49,0,3,"Wilson, Mr. Arthur",male,34.0,1,2,577615,14.0515,G104,S,4,Mr,0,1,0,1,G,2.7114776540024685,Mid,Young,0,0,male_3,0
50,0,1,"Miller, Mr. Charles",male,40.6,0,0,711814,70.2655,,Q,1,Mr,1,0,0,0,,4.266412339349175,VHigh,Middle,0,0,male_1,0
51,0,3,"Miller, Mr. George",male,41.2,1,0,890219,20.9206,,C,2,Mr,0,1,0,0,,3.087426833967975,High,Middle,0,0,male_3,0
52,1,3,"Taylor, Miss. Elizabeth",female,26.9,0,1,526596,0.0957,,C,2,Miss,0,1,0,0,,0.09139342842921054,Low,Young,0,0,female_3,1
53,1,3,"Davis, Miss. Annie",female,35.7,1,1,712101,15.971,,C,3,Miss,0,1,0,0,,2.8315060050291283,Mid,Middle,0,0,female_3,1
54,0,3,"Miller, Mr. Arthur",male,33.7,5,0,566265,5.6739,,S,6,Mr,0,0,1,0,,1.898204396698798,Low,Young,0,0,male_3,0
55,0,3,"Miller, Dr. Charles",male,26.8,0,0,271456,9.7089,F143,S,1,Dr,1,0,0,1,F,2.3710751714350886,Low,Young,0,0,male_3,0
56,1,3,"Johnson, Mr. Henry",male,30.65,0,0,16714,17.5384,F90,S,1,Mr,1,0,0,1,F,2.919844256521534,Mid,Young,0,0,male_3,0
57,1,1,"Miller, Miss. Sarah",female,38.0,1,0,116680,44.2624,,S,2,Miss,0,1,0,0,,3.812476665754881,VHigh,Middle,0,0,female_1,1
58,1,1,"Williams, Miss. Mary",female,23.2,0,0,873669,166.907,B29,C,1,Miss,1,0,0,1,B,5.123410254697455,VHigh,Young,0,0,female_1,1
59,1,1,"Anderson, Mr. Arthur",male,38.6,1,0,418107,119.7016,,S,2,Mr,0,1,0,0,,4.793321384022254,VHigh,Middle,0,0,male_1,0
60,0,2,"Taylor, Rev. Edward",male,45.3,0,0,504771,26.0458,,S,1,Rev,1,0,0,0,,3.297531725214982,High,Middle,0,0,male_2,0
61,1,2,"Johnson, Miss. Ellen",female,22.4,0,0,586587,27.2654,,S,1,Miss,1,0,0,0,,3.341638441804936,High,Young,0,0,female_2,1
62,0,2,"Williams, Mr. Robert",male,13.1,4,0,468383,10.0,,S,5,Mr,0,0,1,0,,2.3978952727983707,Low,Teen,0,0,male_2,1
63,0,3,"Anderson, Mrs. Florence",female,27.2,0,0,861556,16.9554,C49,S,1,Mrs,1,0,0,1,C,2.8878909053469117,Mid,Young,0,0,female_3,1
64,0,2,"Smith, Rev. Charles",male,21.5,1,0,889484,13.5406,,S,2,Rev,0,1,0,0,,2.67694473672853,Mid,Young,0,0,male_2,0
65,0,2,"Anderson, Mr. Robert",male,23.1,0,0,986143,14.3846,,S,1,Mr,1,0,0,0,,2.733367009086,Mid,Young,0,0,male_2,0
66,0,3,"Wilson, Mr. George",male,37.6,0,0,837344,15.9832,,S,1,Mr,1,0,0,0,,2.832224620135655,Mid,Middle,0,0,male_3,0
67,0,1,"Miller, Mr. John",male,46.1,0,0,911174,122.622,,Q,1,Mr,1,0,0,0,,4.81722852271213,VHigh,Middle,0,0,male_1,0
68,1,3,"Miller, Mr. John",male,30.3,0,0,478668,6.8784,,S,1,Mr,1,0,0,0,,2.0641248375679426,Low,Young,0,0,male_3,0
69,1,1,"Smith, Miss. Mary",female,32.5,1,0,78446,52.2801,,S,2,Miss,0,1,0,0,,3.975562903107249,VHigh,Young,0,0,female_1,1
70,0,3,"Jones, Mr. William",male,52.1,0,2,224862,26.2829,,S,3,Mr,0,1,0,0,,3.306260132310624,High,Middle,0,0,male_3,0
71,0,3,"Davis, Mr. Charles",male,30.65,0,0,71516,17.423,,S,1,Mr,1,0,0,0,,2.9135998840153716,Mid,Young,0,0,male_3,0
72,0,1,"Johnson, Mr. Charles",male,63.8,0,2,659511,33.9111,,S,3,Mr,0,1,0,0,,3.552804830216632,High,Senior,0,1,male_1,0
73,1,1,"Williams, Mr. James",male,30.65,1,0,447466,26.0,,C,2,Mr,0,1,0,0,,3.295836866004329,High,Young,0,0,male_1,0
74,1,3,"Williams, Rev. Edward",male,7.1,0,0,701476,5.6037,,C,1,Rev,1,0,0,0,,1.8876300980121126,Low,Child,1,0,male_3,1
75,0,3,"Jones, Dr. John",male,39.8,1,2,93521,24.7233,,S,4,Dr,0,1,0,0,,3.2473971959602097,High,Middle,0,0,male_3,0
76,1,3,"Williams, Miss. Edith",female,36.0,0,0,425367,14.239,G41,S,1,Miss,1,0,0,1,G,2.7238579313077236,Mid,Middle,0,0,female_3,1
77,0,3,"Brown, Rev. Charles",male,46.8,0,0,922105,8.0447,,Q,1,Rev,1,0,0,0,,2.202178950801351,Low,Middle,0,0,male_3,0
78,1,1,"Smith, Mr. Edward",male,30.65,1,0,605654,273.4775,,C,2,Mr,0,1,0,0,,5.6148692903769755,VHigh,Young,0,0,male_1,0
79,1,2,"Miller, Mr. Edward",male,30.65,0,0,185369,46.009,,S,1,Mr,1,0,0,0,,3.850339072740013,VHigh,Young,0,0,male_2,0
80,1,1,"Miller, Miss. Margaret",female,35.9,0,0,575176,328.0087,,S,1,Miss,1,0,0,0,,5.796084194184738,VHigh,Middle,0,0,female_1,1
81,1,3,"Johnson, Mrs. Florence",female,27.2,0,0,328339,25.1752,,S,1,Mrs,1,0,0,0,,3.2648123976061103,High,Young,0,0,female_3,1
82,1,3,"Williams, Mrs. Mary",female,42.8,0,0,880442,8.8008,,S,1,Mrs,1,0,0,0,,2.282464014997824,Low,Middle,0,0,female_3,1
83,0,2,"Johnson, Mr. John",male,22.5,1,0,736376,30.5246,,S,2,Mr,0,1,0,0,,3.4507681934279004,High,Young,0,0,male_2,0
84,0,1,"Wilson, Mr. Charles",male,37.7,0,2,216051,74.9255,,S,3,Mr,0,1,0,0,,4.329752596356292,VHigh,Middle,0,0,male_1,0
85,1,2,"Smith, Mr. John",male,51.7,1,0,507890,37.6992,,S,2,Mr,0,1,0,0,,3.6558189279874456,VHigh,Middle,0,0,male_2,0
86,0,2,"Miller, Mr. Charles",male,35.1,0,0,195406,33.2395,,S,1,Mr,1,0,0,0,,3.533379948363181,High,Middle,0,0,male_2,0
87,0,3,"Williams, Rev. William",male,14.5,0,1,632762,14.2167,,C,2,Rev,0,1,0,0,,2.7223935089509723,Mid,Teen,0,0,male_3,1
88,0,3,"Davis, Mr. Arthur",male,35.8,2,0,664274,10.0639,,C,3,Mr,0,1,0,0,,2.4036875559991238,Low,Middle,0,0,male_3,0
89,0,3,"Johnson, Dr. Henry",male,45.6,0,0,602633,0.892,D117,S,1,Dr,1,0,0,1,D,0.6376344706296866,Low,Middle,0,0,male_3,0
90,0,3,"Wilson, Mr. Edward",male,22.1,0,0,967265,10.4695,,C,1,Mr,1,0,0,0,,2.4396913382120458,Mid,Young,0,0,male_3,0
91,1,1,"Smith, Miss. Mary",female,41.5,0,0,656905,69.9487,,S,1,Miss,1,0,0,0,,4.261957080675679,VHigh,Middle,0,0,female_1,1
92,1,3,"Davis, Mr. Arthur",male,30.65,0,0,168002,17.7506,,C,1,Mr,1,0,0,0,,2.9312257519044307,Mid,Young,0,0,male_3,0
93,1,3,"Johnson, Mr. William",male,19.8,0,1,69117,0.0,,S,2,Mr,0,1,0,0,,0.0,Low,Young,0,0,male_3,0
94,1,3,"Smith, Miss. Ellen",female,20.0,0,2,819527,11.8456,,S,3,Miss,0,1,0,0,,2.553001340253338,Mid,Young,0,0,female_3,1
95,0,3,"Anderson, Mr. Henry",male,28.4,0,0,742842,0.5499,A36,S,1,Mr,1,0,0,1,A,0.43819041272086806,Low,Young,0,0,male_3,0
96,1,3,"Miller, Miss. Margaret",female,12.5,0,0,13991,21.1156,,S,1,Miss,1,0,0,0,,3.0962832418588784,High,Teen,0,0,female_3,1
97,0,3,"Jones, Col. Charles",male,18.5,0,0,33519,20.0573,,C,1,Col,1,0,0,0,,3.0472472933586445,High,Young,0,0,male_3,0
98,0,2,"Williams, Mr. George",male,24.3,0,0,823089,20.3643,,S,1,Mr,1,0,0,0,,3.061721304693105,High,Young,0,0,male_2,0
99,0,1,"Williams, Miss. Florence",female,24.0,0,2,797258,159.9296,,S,3,Miss,0,1,0,0,,5.08096700227459,VHigh,Young,0,0,female_1,1
100,1,1,"Anderson, Mrs. Elizabeth",female,29.1,0,0,183697,79.3448,,S,1,Mrs,1,0,0,0,,4.386327373225574,VHigh,Young,0,0,female_1,1
101,1,1,"Anderson, Miss. Annie",female,33.5,3,0,878481,53.875,,S,4,Miss,0,1,0,0,,4.005057871395335,VHigh,Young,0,0,female_1,1
102,1,3,"Johnson, Mr. Arthur",male,24.8,0,1,552089,16.0237,,S,2,Mr,0,1,0,0,,2.8346064908235102,Mid,Young,0,0,male_3,0
103,0,2,"Johnson, Mr. John",male,32.9,1,0,433062,28.7512,,S,2,Mr,0,1,0,0,,3.3928694673126127,High,Young,0,0,male_2,0
104,1,3,"Brown, Mr. William",male,42.1,0,0,49566,21.7316,,C,1,Mr,1,0,0,0,,3.1237560269400966,High,Middle,0,0,male_3,0
105,0,3,"Jones, Col. James",male,11.6,0,0,688517,3.1143,,C,1,Col,1,0,0,0,,1.414468710302781,Low,Child,1,0,male_3,1
106,1,2,"Brown, Miss. Elizabeth",female,21.6,0,1,169435,14.7549,,Q,2,Miss,0,1,0,0,,2.7571514279977265,Mid,Young,0,0,female_2,1
107,0,2,"Davis, Mr. Robert",male,10.2,0,0,978063,28.4698,,S,1,Mr,1,0,0,0,,3.3833660101639684,High,Child,1,0,male_2,1
108,1,3,"Taylor, Mrs. Edith",female,14.5,0,1,402938,3.9614,,S,2,Mrs,0,1,0,0,,1.601687958974039,Low,Teen,0,0,female_3,1
109,1,1,"Wilson, Dr. Edward",male,31.700000000000003,0,0,932640,173.8558,,S,1,Dr,1,0,0,0,,5.163961634248906,VHigh,Young,0,0,male_1,0
110,1,1,"Brown, Mr. Robert",male,63.3,0,1,723297,41.6741,,S,2,Mr,0,1,0,0,,3.7535921788271835,VHigh,Senior,0,1,male_1,0
111,0,2,"Jones, Mr. William",male,22.7,2,1,551709,27.9162,,S,4,Mr,0,1,0,0,,3.3644019917001042,High,Young,0,0,male_2,0
112,1,1,"Davis, Miss. Annie",female,27.4,0,0,266080,218.0374,F106,Q,1,Miss,1,0,0,1,F,5.389242491491604,VHigh,Young,0,0,female_1,1
113,0,3,"Williams, Miss. Ellen",female,17.1,0,0,267230,9.5731,,C,1,Miss,1,0,0,0,,2.358313039759195,Low,Teen,0,0,female_3,1
114,1,3,"Williams, Miss. Emma",female,24.0,1,0,88027,1.5748,,Q,2,Miss,0,1,0,0,,0.9457718611963237,Low,Young,0,0,female_3,1
115,0,3,"Wilson, Mrs. Alice",female,15.0,0,0,541834,11.4853,G83,C,1,Mrs,1,0,0,1,G,2.5245519522776503,Mid,Teen,0,0,female_3,1
116,1,3,"Brown, Dr. Edith",female,38.6,0,0,343583,18.3919,,C,1,Dr,1,0,0,0,,2.964855453107931,Mid,Middle,0,0,female_3,1
117,0,3,"Johnson, Miss. Mary",female,24.0,1,0,711983,2.1302,,C,2,Miss,0,1,0,0,,1.141096900274265,Low,Young,0,0,female_3,1
118,1,1,"Miller, Col. James",male,37.7,1,0,812838,51.4394,G26,S,2,Col,0,1,0,1,G,3.9596582171824455,VHigh,Middle,0,0,male_1,0
119,0,3,"Johnson, Mr. Henry",male,40.1,1,0,402353,5.3525,,S,2,Mr,0,1,0,0,,1.8488484362121822,Low,Middle,0,0,male_3,0
120,1,3,"Jones, Col. Edward",male,22.8,0,0,281969,8.6531,,S,1,Col,1,0,0,0,,2.2672791072865577,Low,Young,0,0,male_3,0
121,1,3,"Johnson, Lady. Ellen",female,18.5,0,0,999327,17.7761,,S,1,Mrs,1,0,0,0,,2.9325847844825583,Mid,Young,0,0,female_3,1
122,1,3,"Jones, Mrs. Margaret",female,27.2,2,0,251569,7.0291,,S,3,Mrs,0,1,0,0,,2.0830724419761504,Low,Young,0,0,female_3,1
123,0,2,"Jones, Rev. Edward",male,27.8,0,1,306317,21.1568,,S,2,Rev,0,1,0,0,,3.0981444471196435,High,Young,0,0,male_2,0
124,1,1,"Smith, Miss. Mary",female,15.0,0,0,271536,61.1709,,S,1,Miss,1,0,0,0,,4.129887044612044,VHigh,Teen,0,0,female_1,1
125,1,1,"Taylor, Miss. Mary",female,13.9,0,0,327763,84.2533,A58,Q,1,Miss,1,0,0,1,A,4.445626825091845,VHigh,Teen,0,0,female_1,1
126,0,2,"Wilson, Mr. Charles",male,30.65,0,2,355258,37.4354,D90,C,3,Mr,0,1,0,1,D,3.6489789099278958,VHigh,Young,0,0,male_2,0
127,0,3,"Davis, Mr. Robert",male,31.1,0,0,379215,0.0,B125,S,1,Mr,1,0,0,1,B,0.0,Low,Young,0,0,male_3,0
128,0,3,"Wilson, Dr. Annie",female,17.6,0,2,935427,18.5437,G107,S,3,Dr,0,1,0,1,G,2.9726529838580937,Mid,Teen,0,0,female_3,1
129,0,1,"Davis, Mr. Robert",male,15.2,0,0,306518,77.2697,E66,S,1,Mr,1,0,0,1,E,4.360160554923238,VHigh,Teen,0,0,male_1,0
130,0,3,"Johnson, Lady. Alice",female,19.9,0,0,989217,4.8056,,S,1,Mrs,1,0,0,0,,1.7588229689817902,Low,Young,0,0,female_3,1
131,0,2,"Johnson, Mr. Charles",male,30.65,1,0,706771,10.0,,C,2,Mr,0,1,0,0,,2.3978952727983707,Low,Young,0,0,male_2,0
132,1,1,"Williams, Miss. Alice",female,48.8,0,0,336512,249.1503,,S,1,Miss,1,0,0,0,,5.522061937213927,VHigh,Middle,0,0,female_1,1
133,1,1,"Jones, Miss. Florence",female,44.4,0,0,804748,99.589,F95,S,1,Miss,1,0,0,1,F,4.6110429077507735,VHigh,Middle,0,0,female_1,1
134,1,2,"Miller, Miss. Annie",female,10.1,0,0,513166,15.4682,,C,1,Miss,1,0,0,0,,2.801431248599517,Mid,Child,1,0,female_2,1
135,0,3,"Miller, Mr. Arthur",male,30.65,0,0,806988,5.0256,,C,1,Mr,1,0,0,0,,1.7960170594806961,Low,Young,0,0,male_3,0
136,1,2,"Wilson, Dr. Edith",female,37.5,0,0,937562,13.4614,,S,1,Dr,1,0,0,0,,2.6714830308544917,Mid,Middle,0,0,female_2,1
137,1,3,"Williams, Lady. Sarah",female,27.2,0,0,638842,19.3283,,S,1,Mrs,1,0,0,0,,3.0120140038782686,High,Young,0,0,female_3,1
138,1,3,"Davis, Mr. Arthur",male,54.1,1,0,241059,35.4859,,S,2,Mr,0,1,0,0,,3.596925884584987,VHigh,Middle,0,0,male_3,0
139,0,2,"Brown, Miss. Alice",female,47.0,2,0,428698,10.0,,S,3,Miss,0,1,0,0,,2.3978952727983707,Low,Middle,0,0,female_2,1
140,0,3,"Williams, Mr. Edward",male,37.6,0,0,54494,0.3372,,S,1,Mr,1,0,0,0,,0.2905778755638065,Low,Middle,0,0,male_3,0
141,0,3,"Jones, Mr. William",male,30.65,0,2,952509,16.6204,,S,3,Mr,0,1,0,0,,2.869057321725955,Mid,Young,0,0,male_3,0
142,1,2,"Williams, Mr. Charles",male,17.5,0,0,881103,22.1339,,S,1,Mr,1,0,0,0,,3.1412990742218683,High,Teen,0,0,male_2,0
143,0,3,"Smith, Mr. Thomas",male,25.2,1,2,492640,13.9721,,S,4,Mr,0,1,0,0,,2.7061884691542613,Mid,Young,0,0,male_3,0
144,0,2,"Taylor, Mr. George",male,44.2,1,1,42481,19.118,,S,3,Mr,0,1,0,0,,3.0016149367121465,Mid,Middle,0,0,male_2,0
145,1,2,"Davis, Dr. Edith",female,31.4,0,0,38401,19.9641,,C,1,Dr,1,0,0,0,,3.0428114510105884,High,Young,0,0,female_2,1
146,0,1,"Miller, Mr. Robert",male,30.65,0,0,574719,144.6077,,S,1,Mr,1,0,0,0,,4.980916018979628,VHigh,Young,0,0,male_1,0
147,0,3,"Smith, Miss. Emma",female,9.8,1,0,336603,3.7653,G32,S,2,Miss,0,1,0,1,G,1.561360494200926,Low,Child,1,0,female_3,1
148,0,3,"Jones, Mr. Edward",male,15.4,0,0,362617,16.4328,,C,1,Mr,1,0,0,0,,2.858353489200575,Mid,Teen,0,0,male_3,0
149,1,1,"Wilson, Dr. James",male,31.8,0,0,133311,96.0648,,S,1,Dr,1,0,0,0,,4.575378796700277,VHigh,Young,0,0,male_1,0
150,0,2,"Jones, Mr. Arthur",male,7.0,0,0,258482,10.0,,Q,1,Mr,1,0,0,0,,2.3978952727983707,Low,Child,1,0,male_2,1
151,1,3,"Smith, Miss. Sarah",female,26.4,0,0,654615,12.402,,S,1,Miss,1,0,0,0,,2.595403949550979,Mid,Young,0,0,female_3,1
152,1,1,"Taylor, Mr. William",male,28.1,1,0,744042,232.155,A76,S,2,Mr,0,1,0,1,A,5.451703468445783,VHigh,Young,0,0,male_1,0
153,0,1,"Brown, Mr. Charles",male,23.9,3,0,451720,160.4948,,S,4,Mr,0,1,0,0,,5.084472944001925,VHigh,Young,0,0,male_1,0
154,1,3,"Anderson, Mrs. Margaret",female,34.4,0,0,406439,2.1086,,S,1,Mrs,1,0,0,0,,1.1341724640666606,Low,Young,0,0,female_3,1
155,0,3,"Williams, Dr. Henry",male,36.7,0,1,474193,16.9472,,S,2,Dr,0,1,0,0,,2.8874341139088218,Mid,Middle,0,0,male_3,0
156,0,2,"Anderson, Mr. Edward",male,23.1,0,0,249198,31.3861,B42,S,1,Mr,1,0,0,1,B,3.47772931840048,High,Young,0,0,male_2,0
157,1,3,"Anderson, Mr. Henry",male,30.65,0,0,50149,22.5884,,S,1,Mr,1,0,0,0,,3.160755065769616,High,Young,0,0,male_3,0
158,1,3,"Miller, Dr. Alice",female,34.3,0,0,547151,10.6776,,S,1,Dr,1,0,0,0,,2.4576724768342313,Mid,Young,0,0,female_3,1
159,1,1,"Johnson, Mr. Arthur",male,29.6,0,0,899920,84.3746,,S,1,Mr,1,0,0,0,,4.44704863266768,VHigh,Young,0,0,male_1,0
160,0,3,"Williams, Mrs. Emma",female,26.7,0,0,170636,17.4227,F90,S,1,Mrs,1,0,0,1,F,2.913583599889951,Mid,Young,0,0,female_3,1
161,0,2,"Smith, Dr. James",male,51.6,0,0,754984,17.7399,,S,1,Dr,1,0,0,0,,2.930654940616743,Mid,Middle,0,0,male_2,0
162,1,3,"Taylor, Dr. Florence",female,29.9,0,0,556787,25.8216,,S,1,Dr,1,0,0,0,,3.2892075330465347,High,Young,0,0,female_3,1
163,1,3,"Williams, Miss. Ellen",female,22.2,0,0,248691,26.9612,,S,1,Miss,1,0,0,0,,3.3308178348995745,High,Young,0,0,female_3,1
164,0,3,"Miller, Dr. Elizabeth",female,31.700000000000003,0,2,267128,20.9406,,S,3,Dr,0,1,0,0,,3.088338801784001,High,Young,0,0,female_3,1
165,0,1,"Miller, Mr. John",male,17.0,0,2,361362,34.7726,,C,3,Mr,0,1,0,0,,3.5771822372382727,High,Teen,0,0,male_1,0
166,1,3,"Wilson, Miss. Edith",female,24.0,5,0,566420,10.2459,,S,6,Miss,0,0,1,0,,2.420003617779969,Low,Young,0,0,female_3,1
167,0,2,"Davis, Mr. Henry",male,40.0,0,0,136272,25.7665,,C,1,Mr,1,0,0,0,,3.2871511056151586,High,Middle,0,0,male_2,0
168,0,1,"Taylor, Mr. Arthur",male,46.0,0,0,669893,131.4631,E96,S,1,Mr,1,0,0,1,E,4.88630411607454,VHigh,Middle,0,0,male_1,0
