student_id,name,gender,age,department,region,attendance_pct,study_hours_per_day,math_score,science_score,english_score,programming_score,tamil_score,part_time_job,internet_access,parent_education,family_income_lpa
STU1014,Keerthana Kumar,Female,19,Electronics,Salem,100,6.5,62,83,59,57,73,No,Yes,Diploma,5.1
STU1015,Siva Krishnan,Male,22,Civil,Vellore,83.1,3.3,90,55,76,68,60,No,Yes,Post-Graduate,1
STU1016,Deepa Pandian,Female,19,Civil,Chennai,80.8,4.3,77,,72,55,70,Yes,Yes,Graduate,1.4
STU1017,Sneha Subramanian,Female,18,Information Technology,Madurai,67.1,5.9,59,50,66,50,70,No,Yes,Graduate,7.3
STU1018,Lakshmi Shankar,Female,18,Information Technology,Trichy,75.1,7.7,81,63,82,93,71,Yes,Yes,Diploma,2.7
STU1019,Ganesh Kumar,Male,21,Civil,Coimbatore,68.7,2.7,62,52,56,65,77,No,Yes,Diploma,5
STU1020,Deepa Krishnan,Female,20,Civil,Chennai,52,6.4,83,67,84,72,80,Yes,Yes,Graduate,1.7
STU1021,Pradeep Velu,Male,21,Civil,Vellore,,5.1,64,66,61,78,66,No,Yes,School,2.2
STU1022,Ananya Krishnan,Female,21,Electronics,Salem,71.9,4.7,84,79,91,65,83,No,Yes,Diploma,21.1
STU1023,Divya Subramanian,Female,21,Civil,Chennai,68.9,4.5,75,69,58,67,84,Yes,No,Graduate,1.3
STU1024,Deepa Selvam,Female,21,Mechanical,Erode,80.5,2.4,100,59,66,43,76,No,Yes,Diploma,3.2
STU1025,Divya Krishnan,Female,22,Computer Science,Tirunelveli,84.1,5.9,67,71,71,47,79,No,Yes,Diploma,8.4
STU1026,Priya Pandian,Female,22,Civil,Salem,74.2,3.3,74,51,71,46,83,No,Yes,School,1.2
STU1027,Nithya Krishnan,Female,19,Computer Science,Vellore,78,2.9,61,64,76,74,60,No,Yes,Diploma,2.4
STU1028,Priya Krishnan,Female,18,Electronics,Madurai,87,5.8,68,69,55,64,84,No,Yes,Graduate,4.3
STU1029,Saranya Krishnan,Female,21,Computer Science,Trichy,73.7,5.7,27,67,70,47,63,No,Yes,Diploma,3
STU1030,Mani Devi,Male,19,Electronics,Vellore,81.6,4.6,75,71,72,73,64,No,Yes,No Schooling,2.8
STU1031,Mohan Devi,Male,18,Mechanical,Tirunelveli,58.1,6.1,88,56,64,73,74,No,Yes,Graduate,2
STU1032,Pooja Selvam,Female,20,Electronics,Madurai,63.1,6.6,,81,75,50,48,Yes,Yes,Post-Graduate,4
STU1033,Bhavani Kumar,Female,22,Electronics,Coimbatore,85.3,6.5,48,91,54,62,74,No,Yes,Graduate,4.4
STU1034,Divya Krishnan,Female,18,Information Technology,Chennai,62.5,3.7,56,43,66,73,83,No,No,School,4.8
STU1035,Ganesh Nair,Male,20,Civil,Erode,80.8,6,32,48,61,48,54,Yes,Yes,Diploma,1
STU1036,Divya Narayanan,Female,18,Civil,Salem,76.2,4.8,83,66,66,73,84,No,Yes,Post-Graduate,4.5
STU1037,Vijay Nair,Male,22,Mechanical,Salem,73.6,7.1,53,61,87,68,64,No,Yes,School,13.8
STU1038,Karthik Kumar,Male,22,Mechanical,Chennai,,4.3,68,92,88,45,74,No,No,Graduate,3.5
STU1039,Bala Selvam,Male,19,Civil,Erode,88.9,4,66,68,85,67,66,Yes,Yes,Diploma,5.7
STU1040,Siva Raj,Male,21,Information Technology,Chennai,98.8,3.6,90,84,64,70,78,No,Yes,School,3.7
STU1041,Kumar Raj,Male,18,Civil,Coimbatore,81.6,4.8,69,,81,52,83,No,Yes,Graduate,8.7
STU1042,Revathi Murugan,Female,18,Information Technology,Tirunelveli,81.9,5.2,80,76,71,53,79,No,Yes,Graduate,11.9
STU1043,Divya Nair,Female,20,Mechanical,Madurai,,5.2,76,55,71,45,72,No,Yes,Graduate,1
STU1044,Pooja Kumar,Female,22,Computer Science,Vellore,,5,88,55,69,55,67,No,Yes,School,2.6
STU1045,Saranya Kumar,Female,18,Mechanical,Salem,77.5,5.5,64,62,91,63,71,No,No,School,2.2
STU1046,Anjali Ramesh,Female,22,Mechanical,Coimbatore,66.3,4.2,96,45,86,53,79,Yes,Yes,Graduate,2.3
STU1047,Kumar Rajan,Male,18,Electronics,Madurai,56.7,3.2,38,71,79,36,80,No,No,Graduate,1
STU1048,Anjali Shankar,Female,19,Electronics,Coimbatore,87.6,3.1,81,68,68,51,78,No,Yes,School,7.6
STU1049,Priya Velu,Female,21,Electronics,Erode,88.2,6,55,69,70,55,58,No,Yes,School,1
STU1050,Siva Ramesh,Male,18,Electronics,Salem,67.7,5.2,61,77,76,78,72,No,No,School,3.4
STU1051,Keerthana Pandian,Female,22,Information Technology,Vellore,80.9,1.7,77,86,64,74,65,Yes,Yes,Post-Graduate,4.9
STU1052,Naveen Devi,Male,19,Civil,Chennai,90,6.1,76,60,81,78,79,Yes,Yes,Graduate,1
STU1053,Revathi Devi,Female,18,Computer Science,Chennai,80.5,7.3,77,72,59,50,64,No,Yes,Post-Graduate,10.6
STU1054,Vijay Rajan,Male,20,Mechanical,Madurai,63.7,3.4,47,69,75,66,77,No,Yes,School,8.2
STU1055,Pooja Subramanian,Female,21,Information Technology,Vellore,75.2,5,90,70,43,19,69,No,Yes,Post-Graduate,2.9
STU1056,Sneha Subramanian,Female,18,Computer Science,Tirunelveli,93.9,3.8,54,70,63,71,51,No,Yes,School,2.4
STU1057,Arun Selvam,Male,19,Information Technology,Trichy,81,5.4,56,87,95,74,82,Yes,Yes,Graduate,1.2
STU1058,Karthik Pillai,Male,20,Information Technology,Erode,84.5,2.8,78,59,82,57,72,No,Yes,Graduate,5.9
STU1059,Karthik Rajan,Male,19,Mechanical,Madurai,82.1,4.4,64,44,88,68,86,No,Yes,Diploma,1
STU1060,Ganesh Shankar,Male,19,Civil,Trichy,67.7,6,73,55,62,36,54,No,Yes,Diploma,5.1
STU1061,Pradeep Kumar,Male,20,Electronics,Coimbatore,70.5,6.4,36,76,71,49,69,No,Yes,School,8.3
STU1062,Mohan Subramanian,Male,19,Civil,Erode,82.1,5.1,72,65,85,77,70,No,Yes,School,1.2
STU1063,Vijay Shankar,Male,20,Mechanical,Coimbatore,87.8,4,71,58,78,72,75,No,Yes,Graduate,9.1
STU1064,Bala Krishnan,Male,18,Mechanical,Tirunelveli,91.2,2.1,60,50,76,56,57,No,Yes,Graduate,1
STU1065,Divya Nair,Female,20,Mechanical,Vellore,67.7,3.4,37,68,90,78,78,No,Yes,Graduate,11
STU1066,Sneha Nair,Female,20,Computer Science,Salem,83.2,3.8,65,74,58,65,93,No,No,Graduate,1
STU1067,Naveen Pillai,Male,21,Civil,Erode,92.2,3.5,67,69,68,54,77,Yes,Yes,Graduate,4.7
STU1068,Bhavani Narayanan,Female,20,Civil,Trichy,66.2,4.6,62,61,49,60,73,Yes,Yes,No Schooling,1.3
STU1069,Lakshmi Kumar,Female,20,Information Technology,Tirunelveli,95.8,4,40,67,57,55,57,Yes,Yes,School,8.2
STU1070,Divya Velu,Female,18,Information Technology,Salem,97.7,4.8,92,67,83,42,63,No,Yes,Post-Graduate,3.2
STU1071,Divya Velu,Female,21,Information Technology,Chennai,100,6.3,58,68,59,86,71,No,Yes,School,1
STU1072,Mohan Pandian,Male,22,Mechanical,Trichy,80.8,3.9,65,48,79,53,66,No,Yes,Graduate,3.8
STU1073,Priya Velu,Female,18,Civil,Madurai,80.8,2.4,32,68,90,48,83,No,Yes,School,2.4
STU1074,Ravi Krishnan,Male,18,Mechanical,Chennai,87.9,3.4,92,59,68,35,78,No,No,Graduate,4.9
STU1075,Divya Krishnan,Female,22,Computer Science,Tirunelveli,,5.4,61,80,76,16,100,No,Yes,Graduate,9.6
STU1076,Lakshmi Nair,Female,20,Information Technology,Chennai,91.5,5.5,69,67,79,76,61,Yes,Yes,School,2.4
STU1077,Sneha Rajan,Female,19,Mechanical,Madurai,87.4,5.1,,77,55,77,72,No,Yes,Diploma,1.5
STU1078,Mohan Pillai,Male,21,Mechanical,Erode,76.7,6.5,58,61,63,84,57,No,No,Graduate,1
STU1079,Ananya Selvam,Female,19,Computer Science,Chennai,92.7,4.2,82,61,58,60,48,No,Yes,Diploma,
STU1080,Arun Pandian,Male,22,Electronics,Vellore,65.1,7.6,37,86,64,57,80,No,Yes,School,2.3
STU1081,Meena Subramanian,Female,18,Civil,Trichy,78.1,5.7,76,71,79,54,77,No,Yes,Graduate,2.1
STU1082,Arjun Shankar,Male,18,Electronics,Salem,96.8,1,92,55,63,56,63,No,Yes,School,1
STU1083,Nithya Rajan,Female,21,Information Technology,Chennai,63,7.2,59,78,70,83,73,No,Yes,Post-Graduate,2.5
STU1084,Suresh Subramanian,Male,18,Mechanical,Trichy,69.9,3.3,85,58,57,63,65,No,Yes,Graduate,18.7
STU1085,Arun Rajan,Male,18,Computer Science,Coimbatore,86.1,2.9,,68,85,70,67,Yes,Yes,School,1.6
STU1086,Revathi Rajan,Female,21,Computer Science,Trichy,82.7,5.3,64,91,63,55,68,No,Yes,Graduate,4.1
STU1087,Arun Rajan,Male,21,Civil,Salem,67.5,1.9,63,45,88,87,62,No,Yes,Graduate,6.7
STU1088,Meena Nair,Female,22,Electronics,Trichy,73,3.5,55,63,71,29,64,Yes,Yes,Diploma,6.2
STU1089,Pooja Velu,Female,18,Civil,Madurai,63.8,6.8,60,71,53,41,64,No,Yes,Diploma,
STU1090,Anjali Pillai,Female,18,Mechanical,Tirunelveli,89.8,5.3,56,76,68,70,77,No,Yes,Diploma,4.2
STU1091,Lakshmi Selvam,Female,22,Civil,Salem,74.9,5.7,55,48,57,95,41,No,Yes,Diploma,9.2
STU1092,Bhavani Velu,Female,20,Computer Science,Tirunelveli,99.5,3.5,86,43,77,59,69,No,Yes,School,1
STU1093,Anjali Rajan,Female,20,Computer Science,Erode,79,2.2,56,80,67,48,60,No,Yes,Diploma,2.6
STU1094,Keerthana Murugan,Female,20,Information Technology,Tirunelveli,75.4,5.6,72,55,72,81,60,No,Yes,Diploma,1.1
STU1095,Sneha Narayanan,Female,22,Information Technology,Coimbatore,74.2,5.9,69,54,66,69,66,Yes,Yes,Graduate,2.2
STU1096,Kavya Subramanian,Female,18,Mechanical,Madurai,75.1,5.8,90,87,63,86,72,Yes,Yes,Graduate,2.4
STU1097,Pooja Kumar,Female,22,Electronics,Erode,79.3,4.8,60,66,58,40,70,Yes,Yes,Graduate,6.2
STU1098,Nithya Ramesh,Female,22,Civil,Trichy,100,3,74,66,80,85,60,No,Yes,Graduate,1
STU1099,Ravi Velu,Male,20,Mechanical,Salem,73.9,8.2,80,62,68,35,80,No,Yes,Graduate,3.2
STU1100,Kumar Shankar,Male,19,Information Technology,Coimbatore,74.3,5.2,90,48,66,58,62,No,No,Graduate,3.7
STU1101,Deepa Nair,Female,18,Civil,Madurai,78.8,4.2,60,74,68,70,64,No,Yes,Graduate,3.1
STU1102,Revathi Pandian,Female,20,Information Technology,Erode,91.1,4.2,59,71,62,66,75,No,No,Diploma,5.9
STU1103,Divya Devi,Female,19,Civil,Erode,60.9,4.7,52,67,66,82,76,No,Yes,Post-Graduate,2.2
STU1104,Keerthana Selvam,Female,19,Electronics,Coimbatore,83.5,6.1,100,63,72,30,65,No,Yes,No Schooling,13
STU1105,Kavya Kumar,Female,21,Mechanical,Vellore,68.2,4.8,89,61,58,66,40,No,Yes,Diploma,3
STU1106,Priya Krishnan,Female,18,Civil,Trichy,84.6,5.8,67,78,59,85,62,No,Yes,Graduate,3.8
STU1107,Nithya Raj,Female,19,Computer Science,Coimbatore,72.1,4.7,97,63,87,64,74,No,Yes,School,
STU1108,Sneha Murugan,Female,20,Computer Science,Erode,50.4,4.3,66,64,66,42,80,No,Yes,School,1.4
STU1109,Vijay Devi,Male,21,Civil,Chennai,82.4,5.5,79,72,63,81,71,No,Yes,Graduate,1
STU1110,Revathi Ramesh,Female,18,Civil,Madurai,82.3,5.4,68,68,54,51,67,Yes,Yes,Graduate,5.5
STU1111,Dinesh Kumar,Male,22,Civil,Coimbatore,71.1,4.2,74,88,80,48,97,No,Yes,Graduate,3
STU1112,Pooja Devi,Female,20,Computer Science,Vellore,70.3,3.4,72,40,57,46,68,No,Yes,Graduate,
STU1113,Divya Kumar,Female,19,Computer Science,Erode,62.3,5,62,69,70,59,79,No,Yes,School,18.3
STU1114,Suresh Shankar,Male,19,Civil,Trichy,87.3,4.6,84,55,50,66,57,No,Yes,No Schooling,2.3
STU1115,Divya Murugan,Female,20,Information Technology,Tirunelveli,88.6,3.7,79,52,80,40,60,No,Yes,Graduate,2.4
STU1116,Suresh Ramesh,Male,19,Information Technology,Erode,67.5,3.2,83,59,84,44,79,No,Yes,Diploma,2.4
STU1117,Keerthana Krishnan,Female,21,Electronics,Trichy,71.5,5.1,,66,76,50,83,No,Yes,Graduate,1.8
STU1118,Pooja Rajan,Female,18,Mechanical,Coimbatore,77.2,5.3,54,66,52,46,68,No,No,School,6.8
STU1119,Pradeep Subramanian,Male,21,Information Technology,Trichy,100,4,94,44,80,64,52,No,Yes,Diploma,6.4
STU1120,Saranya Krishnan,Female,19,Computer Science,Salem,84.5,3.6,64,57,60,70,70,No,Yes,Graduate,2.9
STU1121,Arun Rajan,Male,22,Information Technology,Salem,66.7,3.3,73,69,56,67,74,No,Yes,Graduate,
STU1122,Meena Raj,Female,18,Electronics,Salem,81.6,5.1,78,53,65,67,73,No,Yes,Graduate,1.7
STU1123,Arjun Nair,Male,18,Electronics,Vellore,61.5,3.3,73,49,65,93,66,Yes,Yes,Diploma,1.6
STU1124,Dinesh Pillai,Male,20,Mechanical,Vellore,86.6,7.9,82,33,64,71,70,No,Yes,Diploma,7.5
STU1125,Divya Pillai,Female,20,Information Technology,Chennai,98.1,3.9,84,56,85,77,64,No,Yes,School,1
STU1126,Priya Pillai,Female,22,Computer Science,Vellore,98.2,1,65,49,94,56,60,No,No,School,7.4
STU1127,Pradeep Selvam,Male,18,Computer Science,Tirunelveli,86.8,4.5,92,51,54,80,80,Yes,Yes,Diploma,5
STU1128,Deepa Velu,Female,22,Civil,Coimbatore,71,4.4,64,61,62,55,73,Yes,Yes,Diploma,5.9
STU1129,Keerthana Narayanan,Female,20,Computer Science,Erode,62.4,6.2,73,57,72,70,70,Yes,No,Graduate,2.5
STU1130,Lakshmi Pandian,Female,20,Mechanical,Erode,61.2,4.9,62,49,65,38,66,Yes,Yes,Diploma,5.1
STU1131,Bala Pandian,Male,18,Mechanical,Chennai,44.3,3.2,58,35,75,66,70,No,Yes,Graduate,4.2
STU1132,Siva Velu,Male,21,Computer Science,Vellore,86.3,4.1,84,69,81,45,74,No,Yes,Post-Graduate,6.6
STU1133,Kumar Pillai,Male,19,Computer Science,Tirunelveli,76.8,5,100,76,79,80,91,No,Yes,Diploma,2.7
STU1134,Suresh Subramanian,Male,20,Civil,Trichy,88.9,1.3,63,59,77,79,79,No,Yes,School,2.9
STU1135,Arjun Ramesh,Male,20,Computer Science,Chennai,95.1,6.5,86,61,90,55,65,No,Yes,School,4.6
STU1136,Kumar Murugan,Male,21,Civil,Tirunelveli,79.2,3.3,63,65,51,100,65,No,Yes,Graduate,1
STU1137,Ganesh Ramesh,Male,21,Civil,Trichy,79.8,6.6,68,87,88,58,63,No,No,Diploma,2.6
STU1138,Pradeep Murugan,Male,22,Computer Science,Tirunelveli,,5.1,94,43,65,34,70,Yes,Yes,School,16.1
STU1139,Suresh Ramesh,Male,22,Electronics,Trichy,73.8,5.4,52,59,79,49,63,No,No,Graduate,1
STU1140,Lakshmi Narayanan,Female,19,Electronics,Madurai,86.7,6.2,48,41,58,44,77,No,No,School,1.7
STU1141,Kumar Selvam,Male,19,Civil,Tirunelveli,75.9,5.4,67,,59,70,43,Yes,Yes,Graduate,1.7
STU1142,Pooja Selvam,Female,18,Computer Science,Erode,74.2,5.5,78,63,78,41,78,No,Yes,Graduate,4.5
STU1143,Kavya Pillai,Female,22,Electronics,Salem,77.8,4.3,75,68,47,53,75,No,Yes,Graduate,1
STU1144,Revathi Raj,Female,20,Computer Science,Vellore,88.6,5.1,73,67,82,69,86,No,Yes,School,4.5
STU1145,Dinesh Rajan,Male,22,Computer Science,Trichy,69.7,3.6,69,79,85,65,82,No,Yes,Post-Graduate,1
STU1146,Vijay Raj,Male,20,Computer Science,Madurai,77.2,4,,73,72,63,64,Yes,No,Graduate,
STU1147,Suresh Devi,Male,21,Information Technology,Tirunelveli,80.9,7.4,24,77,72,65,80,No,Yes,School,
STU1148,Mohan Selvam,Male,22,Computer Science,Erode,91.9,3.3,57,50,60,56,70,No,Yes,School,1.8
STU1149,Saranya Selvam,Female,21,Information Technology,Salem,75.1,4.7,67,82,78,34,51,No,Yes,Diploma,17.1
STU1150,Kumar Krishnan,Male,19,Civil,Trichy,69.4,4.7,79,55,74,56,74,Yes,Yes,Graduate,1
STU1151,Naveen Krishnan,Male,19,Electronics,Tirunelveli,72.2,4,90,56,59,71,65,No,Yes,Graduate,2.7
STU1152,Arun Rajan,Male,18,Electronics,Tirunelveli,90.6,5.3,55,69,65,61,72,No,Yes,Graduate,1
STU1153,Suresh Shankar,Male,22,Electronics,Trichy,100,5.4,90,69,68,70,90,No,Yes,Post-Graduate,1.9
STU1154,Pradeep Devi,Male,21,Electronics,Chennai,62.2,3.1,61,50,65,52,74,No,Yes,No Schooling,25
STU1155,Priya Raj,Female,20,Electronics,Chennai,64.9,4.7,66,63,54,81,61,No,Yes,No Schooling,9.9
STU1156,Naveen Subramanian,Male,19,Electronics,Erode,76,2.9,77,86,78,17,83,No,Yes,Post-Graduate,1
STU1157,Keerthana Krishnan,Female,19,Electronics,Salem,79.3,5.7,65,44,67,66,76,No,Yes,Graduate,3.7
STU1158,Naveen Subramanian,Male,20,Civil,Trichy,87.4,4.8,85,86,70,87,60,No,Yes,Diploma,4.7
STU1159,Anjali Kumar,Female,21,Computer Science,Erode,67.3,4.6,62,62,63,90,54,No,Yes,Graduate,1.1
STU1160,Suresh Krishnan,Male,21,Mechanical,Erode,65.2,5.5,62,32,76,59,61,Yes,Yes,Post-Graduate,1
STU1161,Arun Narayanan,Male,22,Information Technology,Coimbatore,79.7,4.1,84,46,72,39,81,Yes,Yes,Graduate,10.6
STU1162,Divya Shankar,Female,22,Mechanical,Tirunelveli,74.9,5.9,57,52,85,88,69,No,No,Graduate,15.6
STU1163,Divya Devi,Female,18,Mechanical,Vellore,89.1,3.1,72,56,76,62,73,No,Yes,Graduate,21.7
STU1164,Meena Nair,Female,19,Computer Science,Tirunelveli,83.8,6.6,43,64,68,60,57,No,Yes,School,7
STU1165,Ganesh Rajan,Male,22,Computer Science,Chennai,84.7,3.7,95,27,61,47,81,No,No,Graduate,4.9
STU1166,Anjali Kumar,Female,21,Computer Science,Salem,76.7,2,,68,80,41,50,No,Yes,School,1.9
STU1167,Arjun Nair,Male,20,Electronics,Tirunelveli,100,4,100,,67,73,65,Yes,Yes,Post-Graduate,1
STU1168,Naveen Devi,Male,21,Civil,Trichy,67.9,3.8,88,84,68,75,77,Yes,No,Diploma,1
STU1169,Keerthana Raj,Female,19,Electronics,Erode,85.3,4,51,61,68,67,60,Yes,Yes,Graduate,5.3
STU1170,Meena Pillai,Female,21,Civil,Trichy,62.8,4.8,78,78,65,49,79,No,Yes,Diploma,6.9
STU1171,Ganesh Narayanan,Male,18,Civil,Coimbatore,65.1,6.1,54,81,68,44,62,No,No,School,7.9
STU1172,Dinesh Devi,Male,19,Mechanical,Salem,70.7,4.2,92,80,93,37,59,Yes,Yes,Diploma,11
STU1173,Divya Narayanan,Female,20,Mechanical,Erode,97.6,3.5,51,57,57,53,86,No,Yes,Post-Graduate,9.5
STU1174,Lakshmi Velu,Female,18,Civil,Trichy,81.2,2.8,51,57,60,45,74,Yes,Yes,Post-Graduate,25
STU1175,Meena Narayanan,Female,19,Civil,Chennai,70.9,3.8,44,62,87,32,78,No,Yes,Diploma,1.3
STU1176,Ravi Subramanian,Male,20,Electronics,Vellore,82.5,1.7,61,,66,75,83,No,Yes,Post-Graduate,6.5
STU1177,Karthik Velu,Male,18,Electronics,Coimbatore,78.4,3.4,58,58,65,39,43,No,Yes,Graduate,4
STU1178,Ravi Ramesh,Male,18,Mechanical,Salem,72.1,6.4,49,63,82,81,79,No,No,Graduate,1.4
STU1179,Pradeep Nair,Male,19,Computer Science,Coimbatore,61.2,3.3,98,69,53,70,64,No,No,No Schooling,18.1
STU1180,Dinesh Pillai,Male,22,Civil,Chennai,95.3,5.4,76,52,80,68,65,No,No,Post-Graduate,10.3
STU1181,Dinesh Velu,Male,18,Electronics,Salem,80.5,2.7,74,51,71,93,77,No,Yes,Graduate,1
STU1182,Kavya Raj,Female,18,Mechanical,Coimbatore,100,7.2,92,,76,40,68,No,Yes,Post-Graduate,1
STU1183,Dinesh Kumar,Male,20,Electronics,Madurai,89.3,7.3,72,65,75,79,79,No,No,Graduate,5.2
STU1184,Arjun Devi,Male,21,Civil,Chennai,,5.4,57,71,62,58,72,No,No,Graduate,4.2
STU1185,Siva Murugan,Male,19,Civil,Chennai,72.8,7.5,42,74,83,100,74,No,Yes,Graduate,12.4
STU1186,Meena Kumar,Female,19,Information Technology,Chennai,64.9,5,56,50,63,56,67,No,Yes,Diploma,1.2
STU1187,Kumar Ramesh,Male,22,Computer Science,Madurai,75.4,5.7,91,54,75,53,60,Yes,Yes,Diploma,1
STU1188,Ravi Kumar,Male,22,Information Technology,Madurai,64.5,6.4,49,51,85,71,64,No,Yes,Diploma,1.4
STU1189,Nithya Selvam,Female,19,Mechanical,Trichy,85.8,4.8,73,85,87,59,71,No,Yes,No Schooling,1
STU1190,Ganesh Raj,Male,22,Electronics,Erode,97.6,2.2,84,63,67,49,92,No,Yes,Graduate,1
STU1191,Karthik Murugan,Male,20,Mechanical,Vellore,74.9,5.7,72,65,76,46,88,No,Yes,Graduate,11.1
STU1192,Arjun Velu,Male,19,Civil,Coimbatore,89.3,3.8,74,66,66,89,65,No,Yes,Post-Graduate,2
STU1193,Arun Velu,Male,22,Information Technology,Trichy,69.7,3.9,78,55,100,42,73,No,Yes,School,2.4
STU1194,Mani Velu,Male,19,Information Technology,Coimbatore,74.4,4.9,74,87,79,67,69,No,Yes,Graduate,1
STU1195,Anjali Ramesh,Female,21,Information Technology,Vellore,68.2,5.3,92,71,71,82,73,No,Yes,No Schooling,1.4
STU1196,Nithya Subramanian,Female,18,Mechanical,Erode,52.4,4.7,52,66,74,83,75,No,Yes,School,7.4
STU1197,Revathi Nair,Female,19,Civil,Madurai,77.6,5.5,72,50,75,52,78,No,Yes,School,
STU1198,Karthik Devi,Male,18,Electronics,Erode,79.5,3.4,,49,75,59,40,No,Yes,Graduate,6.3
STU1199,Vijay Shankar,Male,22,Electronics,Madurai,,4.4,37,61,67,56,76,No,Yes,School,2.7
STU1200,Arun Pandian,Male,18,Mechanical,Vellore,87.5,5.8,67,55,65,35,68,No,Yes,Graduate,1.7
STU1201,Priya Nair,Female,19,Information Technology,Erode,87.7,7.2,76,50,68,73,64,Yes,Yes,School,3
STU1202,Arjun Ramesh,Male,21,Computer Science,Trichy,66.3,7.7,92,60,56,64,81,No,No,Post-Graduate,1.8
STU1203,Kumar Rajan,Male,22,Mechanical,Salem,83.5,5.1,100,62,79,89,88,No,Yes,Graduate,8.2
STU1204,Kavya Raj,Female,19,Mechanical,Trichy,97,5.8,88,67,60,48,80,No,Yes,Post-Graduate,1.6
STU1205,Mani Devi,Male,22,Civil,Coimbatore,82.6,7.5,79,58,57,83,66,Yes,Yes,Post-Graduate,4.9
STU1206,Meena Nair,Female,20,Electronics,Trichy,99.9,3.5,70,51,70,84,60,No,No,Post-Graduate,1
STU1207,Revathi Pillai,Female,18,Mechanical,Vellore,100,5.4,45,51,68,64,39,Yes,Yes,Post-Graduate,5.2
STU1208,Kavya Ramesh,Female,20,Mechanical,Chennai,74.8,5.7,,82,73,24,74,No,Yes,Graduate,11
STU1209,Arjun Selvam,Male,19,Information Technology,Coimbatore,69.6,6.7,,47,63,54,78,Yes,Yes,School,4.2
STU1210,Arjun Pandian,Male,21,Information Technology,Erode,68.9,2.8,81,70,65,95,71,No,Yes,Diploma,3.7
STU1211,Siva Selvam,Male,22,Computer Science,Coimbatore,59.8,3.1,49,72,78,68,82,No,No,School,14.6
STU1212,Dinesh Velu,Male,18,Civil,Salem,71.8,4.5,77,63,78,75,57,No,Yes,Graduate,4.4
STU1213,Mani Pandian,Male,22,Computer Science,Madurai,92.5,5.1,76,90,77,61,70,No,Yes,Graduate,1.4
STU1214,Arun Nair,Male,19,Information Technology,Erode,51.6,6.2,73,,70,59,69,Yes,Yes,Post-Graduate,1.6
STU1215,Kumar Pillai,Male,22,Electronics,Tirunelveli,65.6,5.3,68,91,72,29,71,No,Yes,Post-Graduate,5.5
STU1216,Bhavani Velu,Female,18,Information Technology,Coimbatore,76.5,4.3,78,56,73,77,85,No,Yes,Diploma,6
STU1217,Arun Shankar,Male,19,Civil,Erode,67.5,5.1,78,56,62,82,71,No,Yes,Graduate,1.6
STU1218,Sneha Raj,Female,22,Information Technology,Erode,71.7,5,58,72,88,46,69,No,Yes,Post-Graduate,1.9
STU1219,Naveen Rajan,Male,21,Civil,Erode,71.9,7.1,75,61,86,60,62,No,Yes,Diploma,21.2
STU1220,Karthik Devi,Male,19,Civil,Madurai,74.9,4.7,65,89,80,57,87,Yes,Yes,Graduate,1
STU1221,Kumar Subramanian,Male,19,Civil,Tirunelveli,69.2,3.9,46,70,65,71,56,No,Yes,School,2.3
STU1222,Kavya Selvam,Female,21,Civil,Vellore,,5.2,60,50,76,53,66,No,Yes,Graduate,1
STU1223,Deepa Selvam,Female,20,Civil,Trichy,89.2,4.8,45,41,82,80,91,No,Yes,Diploma,7.7
STU1224,Kavya Velu,Female,18,Electronics,Erode,90.6,2.1,83,64,55,64,77,No,Yes,Post-Graduate,1
